,MaxCurrent,EffCurrent,Time Period,PC screen1,PC screen2,Temperature sensor
0,24.41,17.3,0.0,ON,IDLE,OFF
1,12.21,8.6,1.06,ON,IDLE,OFF
2,36.62,25.9,1.07,ON,IDLE,OFF
3,24.41,17.3,1.07,IDLE,IDLE,OFF
4,36.62,25.9,1.07,ON,IDLE,OFF
5,24.41,17.3,1.06,ON,IDLE,OFF
6,12.21,8.6,1.06,ON,IDLE,OFF
7,24.41,17.3,1.06,ON,IDLE,OFF
8,12.21,8.6,1.06,ON,IDLE,OFF
9,24.41,17.3,1.06,ON,IDLE,OFF
10,36.62,25.9,1.07,ON,IDLE,OFF
11,12.21,8.6,1.06,ON,IDLE,OFF
12,24.41,17.3,1.07,ON,IDLE,OFF
13,7336.43,5188.4,1.07,ON,IDLE,OFF
14,366.21,259.0,1.07,ON,IDLE,OFF
15,122.07,86.3,1.07,ON,IDLE,OFF
16,219.73,155.4,1.07,ON,IDLE,OFF
17,231.93,164.0,1.07,IDLE,IDLE,OFF
18,219.73,155.4,1.07,ON,IDLE,OFF
19,231.93,164.0,1.07,IDLE,IDLE,OFF
20,219.73,155.4,1.07,IDLE,IDLE,OFF
21,219.73,155.4,1.07,ON,IDLE,OFF
22,73.24,51.8,1.06,ON,IDLE,OFF
23,231.93,164.0,1.07,ON,IDLE,OFF
24,244.14,172.7,1.07,ON,IDLE,OFF
25,231.93,164.0,1.07,ON,IDLE,OFF
26,231.93,164.0,1.07,ON,IDLE,OFF
27,219.73,155.4,1.07,ON,IDLE,OFF
28,231.93,164.0,1.07,ON,IDLE,OFF
29,244.14,172.7,1.07,ON,IDLE,OFF
30,231.93,164.0,1.07,ON,IDLE,OFF
31,231.93,164.0,1.07,ON,IDLE,OFF
32,231.93,164.0,1.07,ON,IDLE,OFF
33,244.14,172.7,1.07,ON,IDLE,OFF
34,244.14,172.7,1.07,IDLE,IDLE,OFF
35,219.73,155.4,1.07,IDLE,IDLE,OFF
36,231.93,164.0,1.07,ON,IDLE,OFF
37,244.14,172.7,1.07,ON,IDLE,OFF
38,231.93,164.0,1.07,ON,IDLE,OFF
